MineName,MineData_RMK,MineName_SRC,WellNo,StartDate,StartDate_RMK,EndDate, VolDisposed ,Depth,Depth_RMK,Formation,Formation_SRC,Company,CompanyLocation,CompanyLocation_SRC,WellCounty
Alta Mesa Project,,"Heitzenrater, 2017; TCEQ, 2010; Mestena, 2013a; EFR, 2017b; EFR, 2017a; EFR, 2016; Mestena, 2014a; Mestena, 2015; Mestena, 2014b; Mestena, 2013b; Mestena, 2012a; Mestena, 2012b",WDW-365,1/31/2004,,9/30/2017,279,4381-5381,,Frio Formation,,"Mestena, Energy Fuels Alta Mesa, LLC (after 2016)","Corpus Christi, TX","UCC, 1979b",Brooks
Alta Mesa Project,,"Heitzenrater, 2017; Mestena, 2013a; EFR, 2017b; EFR, 2017a; EFR, 2016; Mestena, 2014a; Mestena, 2015; Mestena, 2014b; Mestena, 2013b; Mestena, 2012a; Mestena, 2012b",WDW-366,4/30/2007,,9/30/2017,229,,Class I WDW Permit Not Found,,,,,,
Kingsville Dome,,"UR_INC, 2016b; TCEQ, 2006a",WDW-248,6/24/1988,,12/31/2015,1312,4200-5300,,Upper Frio Formation,,"URI, Inc.","Lewisville, TX",,Kleberg
Kingsville Dome ,,,WDW-247,,No disposal records found,,,,Class I WDW Permit Not Found,,,,,,
Mt. Lucas Mine,Reports suggest that Mt. Lucas Mine dispsosed of water using land disposal,"Knape, 1984; EverestMC, 1986a",WDW-194,,No disposal records found,,,5200-5900,,Yegua Formation,,Everest Minerals Corporation,"Corpus Christi, Texas",,Live Oak
Palangana Dome,,"EMC, 2006; ChevronRC, 1994; Knape, 1984 RGR, 1995; ChevronRC, 1990; UCC, 1979a; UCC, 1979b; UCC, 1980a; UCC, 1980b; UCC, 1981; ChevronRC, 1981; ChevronRC, 1982a; ChevronRC, 1982b; ChevronRC, 1983; ChevronUSA, 1984; ChevronUSA, 1985; ChevronUSA, 1986",WDW-134,7/1/1978,,3/1/1991,491,5968-6597 ,,Yegua Formation,,Union Carbide Corporation; Chevron Resources Company,"Benavides, TX",,Duval
Palangana Mine,,"SRK, 2010",WDW-418,,No disposal records found,,,,Class I WDW Permit Not Found,,,,,,
Palangana Mine,,"SRK, 2010; TCEQ, 2012; Heitzenrater, 2017",WDW-419,12/31/2010,,6/30/2017,158,5470-6900,,Jackson and Yegua Formations,"UCC, 1979b",South Texas Mining Venture,"Corpus Christi, TX","UCC, 1979b",Duval
Rosita,,"UR_INC, 2016a; TCEQ, 2009b; ChevronRC, 1981",WDW-250,10/1/1990,,12/31/2015,743,4100-5400,,Yegua Formation,,"URI, Inc.","Lewisville, TX",,Duval
