SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Temperature (ºC),Turbidity (NTU)
372,Garrikalan,CGWB,20,Jharkhand,332,HAZARIBAG,KEREDARI,KEREDARI,Garrikalan,-,-,-,-,-,-,23.85833333,85.16472222,25-05-2012 00:00,"",
373,Garrikalan,CGWB,20,Jharkhand,332,HAZARIBAG,KEREDARI,KEREDARI,Garrikalan,-,-,-,-,-,-,23.85833333,85.16472222,25-05-2013 00:00,"",
374,Ghagra,CGWB,20,Jharkhand,331,GUMLA,GHAGHRA,GHAGHRA,Ghagra,-,-,-,-,-,-,23.26944444,84.55416667,25-05-2003 00:00,"",
375,Ghagra,CGWB,20,Jharkhand,331,GUMLA,GHAGHRA,GHAGHRA,Ghagra,-,-,-,-,-,-,23.26944444,84.55416667,25-05-2006 00:00,"",
376,Ghagra,CGWB,20,Jharkhand,331,GUMLA,GHAGHRA,GHAGHRA,Ghagra,-,-,-,-,-,-,23.26944444,84.55416667,25-05-2008 00:00,"",
377,Ghagra,CGWB,20,Jharkhand,331,GUMLA,GHAGHRA,GHAGHRA,Ghagra,-,-,-,-,-,-,23.26944444,84.55416667,25-05-2010 00:00,"",
378,Ghagra,CGWB,20,Jharkhand,331,GUMLA,GHAGHRA,GHAGHRA,Ghagra,-,-,-,-,-,-,23.26944444,84.55416667,25-05-2011 00:00,"",
379,Ghat Selumpur,CGWB,20,Jharkhand,340,Sahebganj,RAJMAHAL,RAJMAHAL,Ghat Selampur,-,-,-,-,-,-,25.05666667,87.82138889,25-05-2012 00:00,"",
380,Ghatsila,CGWB,20,Jharkhand,327,PURBI SINGHBHUM,BAHARAGORA,BAHARAGORA,Ghatsila,-,-,-,-,-,-,22.27500000,86.71250000,25-05-2002 00:00,"",
381,Ghatsila,CGWB,20,Jharkhand,327,PURBI SINGHBHUM,BAHARAGORA,BAHARAGORA,Ghatsila,-,-,-,-,-,-,22.27500000,86.71250000,25-05-2003 00:00,"",
382,Ghatsila,CGWB,20,Jharkhand,327,PURBI SINGHBHUM,BAHARAGORA,BAHARAGORA,Ghatsila,-,-,-,-,-,-,22.27500000,86.71250000,25-05-2004 00:00,"",
383,Ghatsila,CGWB,20,Jharkhand,327,PURBI SINGHBHUM,BAHARAGORA,BAHARAGORA,Ghatsila,-,-,-,-,-,-,22.27500000,86.71250000,25-05-2006 00:00,"",
384,Ghatsila,CGWB,20,Jharkhand,327,PURBI SINGHBHUM,BAHARAGORA,BAHARAGORA,Ghatsila,-,-,-,-,-,-,22.27500000,86.71250000,25-05-2007 00:00,"",
385,Ghatsila,CGWB,20,Jharkhand,327,PURBI SINGHBHUM,BAHARAGORA,BAHARAGORA,Ghatsila,-,-,-,-,-,-,22.27500000,86.71250000,25-05-2008 00:00,"",
386,Ghatsila,CGWB,20,Jharkhand,327,PURBI SINGHBHUM,BAHARAGORA,BAHARAGORA,Ghatsila,-,-,-,-,-,-,22.27500000,86.71250000,25-05-2009 00:00,"",
387,Ghatsila,CGWB,20,Jharkhand,327,PURBI SINGHBHUM,BAHARAGORA,BAHARAGORA,Ghatsila,-,-,-,-,-,-,22.27500000,86.71250000,25-05-2010 00:00,"",
388,Ghatsila,CGWB,20,Jharkhand,327,PURBI SINGHBHUM,BAHARAGORA,BAHARAGORA,Ghatsila,-,-,-,-,-,-,22.27500000,86.71250000,25-05-2011 00:00,"",
389,Ghatsila,CGWB,20,Jharkhand,327,PURBI SINGHBHUM,BAHARAGORA,BAHARAGORA,Ghatsila,-,-,-,-,-,-,22.27500000,86.71250000,25-05-2012 00:00,"",
390,Ghatsila,CGWB,20,Jharkhand,327,PURBI SINGHBHUM,BAHARAGORA,BAHARAGORA,Ghatsila,-,-,-,-,-,-,22.27500000,86.71250000,25-05-2013 00:00,"",
391,Ghormara,CGWB,20,Jharkhand,324,DEOGHAR,MOHANPUR,M0HANPUR,Ghormara,-,-,-,-,-,-,24.44166667,86.86388889,25-05-2002 00:00,"",
392,Ghormara,CGWB,20,Jharkhand,324,DEOGHAR,MOHANPUR,M0HANPUR,Ghormara,-,-,-,-,-,-,24.44166667,86.86388889,25-05-2003 00:00,"",
393,Ghormara,CGWB,20,Jharkhand,324,DEOGHAR,MOHANPUR,M0HANPUR,Ghormara,-,-,-,-,-,-,24.44166667,86.86388889,25-05-2006 00:00,"",
394,Ghormara,CGWB,20,Jharkhand,324,DEOGHAR,MOHANPUR,M0HANPUR,Ghormara,-,-,-,-,-,-,24.44166667,86.86388889,25-05-2009 00:00,"",
395,Ghormara,CGWB,20,Jharkhand,324,DEOGHAR,MOHANPUR,M0HANPUR,Ghormara,-,-,-,-,-,-,24.44166667,86.86388889,25-05-2010 00:00,"",
396,Ghormara,CGWB,20,Jharkhand,324,DEOGHAR,MOHANPUR,M0HANPUR,Ghormara,-,-,-,-,-,-,24.44166667,86.86388889,25-05-2013 00:00,"",
397,Giridih,CGWB,20,Jharkhand,329,GIRIDIH,GIRIDIH,GIRIDIH,Giridih,-,-,-,-,-,-,24.16666667,86.30833333,25-05-2002 00:00,"",
398,Giridih,CGWB,20,Jharkhand,329,GIRIDIH,GIRIDIH,GIRIDIH,Giridih,-,-,-,-,-,-,24.16666667,86.30833333,25-05-2003 00:00,"",
399,Giridih,CGWB,20,Jharkhand,329,GIRIDIH,GIRIDIH,GIRIDIH,Giridih,-,-,-,-,-,-,24.16666667,86.30833333,25-05-2004 00:00,"",
400,Giridih,CGWB,20,Jharkhand,329,GIRIDIH,GIRIDIH,GIRIDIH,Giridih,-,-,-,-,-,-,24.16666667,86.30833333,25-05-2005 00:00,"",
401,Giridih,CGWB,20,Jharkhand,329,GIRIDIH,GIRIDIH,GIRIDIH,Giridih,-,-,-,-,-,-,24.16666667,86.30833333,25-05-2006 00:00,"",
402,Giridih,CGWB,20,Jharkhand,329,GIRIDIH,GIRIDIH,GIRIDIH,Giridih,-,-,-,-,-,-,24.16666667,86.30833333,25-05-2008 00:00,"",
403,Giridih,CGWB,20,Jharkhand,329,GIRIDIH,GIRIDIH,GIRIDIH,Giridih,-,-,-,-,-,-,24.16666667,86.30833333,25-05-2010 00:00,"",
404,Giridih,CGWB,20,Jharkhand,329,GIRIDIH,GIRIDIH,GIRIDIH,Giridih,-,-,-,-,-,-,24.16666667,86.30833333,25-05-2012 00:00,"",
405,Giridih,CGWB,20,Jharkhand,329,GIRIDIH,GIRIDIH,GIRIDIH,Giridih,-,-,-,-,-,-,24.16666667,86.30833333,25-05-2013 00:00,"",
406,Godarmana,CGWB,20,Jharkhand,328,GARHWA,RANKA,RANKA,Godarmana,-,-,-,-,-,-,23.87361111,83.71111111,25-05-2004 00:00,"",
407,Godda1,CGWB,20,Jharkhand,330,GODDA,GODDA,GODDA,Godda,-,-,-,-,-,-,24.83694444,87.23916667,25-05-2002 00:00,"",
408,Godda p.s.,CGWB,20,Jharkhand,330,GODDA,GODDA,GODDA,Godda p.s.,-,-,-,-,-,-,24.83666667,87.23888889,25-05-2004 00:00,"",
409,Godda p.s.,CGWB,20,Jharkhand,330,GODDA,GODDA,GODDA,Godda p.s.,-,-,-,-,-,-,24.83666667,87.23888889,25-05-2005 00:00,"",
410,Goelkera,CGWB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,GOILKERA,GOILKERA,Goelkera,-,-,-,-,-,-,22.51111111,85.38333333,25-05-2004 00:00,"",
411,Gola,CGWB,20,Jharkhand,332,HAZARIBAG,GOLA,GOLA,Gola,-,-,-,-,-,-,23.52500000,85.73333333,25-05-2001 00:00,"",
412,Gola,CGWB,20,Jharkhand,332,HAZARIBAG,GOLA,GOLA,Gola,-,-,-,-,-,-,23.52500000,85.73333333,25-05-2005 00:00,"",
413,Gola,CGWB,20,Jharkhand,332,HAZARIBAG,GOLA,GOLA,Gola,-,-,-,-,-,-,23.52500000,85.73333333,25-05-2008 00:00,"",
414,Gola,CGWB,20,Jharkhand,332,HAZARIBAG,GOLA,GOLA,Gola,-,-,-,-,-,-,23.52500000,85.73333333,25-05-2010 00:00,"",
415,Gola,CGWB,20,Jharkhand,332,HAZARIBAG,GOLA,GOLA,Gola,-,-,-,-,-,-,23.52500000,85.73333333,25-05-2011 00:00,"",
416,Gola,CGWB,20,Jharkhand,332,HAZARIBAG,GOLA,GOLA,Gola,-,-,-,-,-,-,23.52500000,85.73333333,25-05-2012 00:00,"",
417,Gomia,CGWB,20,Jharkhand,322,BOKARO,GUMIA,GUMIA,Gomia,-,-,-,-,-,-,23.78333333,85.83333333,25-05-2002 00:00,"",
418,Gomia,CGWB,20,Jharkhand,322,BOKARO,GUMIA,GUMIA,Gomia,-,-,-,-,-,-,23.78333333,85.83333333,25-05-2003 00:00,"",
419,Gomia,CGWB,20,Jharkhand,322,BOKARO,GUMIA,GUMIA,Gomia,-,-,-,-,-,-,23.78333333,85.83333333,25-05-2004 00:00,"",
420,Gomia,CGWB,20,Jharkhand,322,BOKARO,GUMIA,GUMIA,Gomia,-,-,-,-,-,-,23.78333333,85.83333333,25-05-2005 00:00,"",
421,Gomia,CGWB,20,Jharkhand,322,BOKARO,GUMIA,GUMIA,Gomia,-,-,-,-,-,-,23.78333333,85.83333333,25-05-2007 00:00,"",
422,Gomia,CGWB,20,Jharkhand,322,BOKARO,GUMIA,GUMIA,Gomia,-,-,-,-,-,-,23.78333333,85.83333333,25-05-2008 00:00,"",
423,Gomia,CGWB,20,Jharkhand,322,BOKARO,GUMIA,GUMIA,Gomia,-,-,-,-,-,-,23.78333333,85.83333333,25-05-2009 00:00,"",
424,Gomia,CGWB,20,Jharkhand,322,BOKARO,GUMIA,GUMIA,Gomia,-,-,-,-,-,-,23.78333333,85.83333333,25-05-2010 00:00,"",
425,Gomia,CGWB,20,Jharkhand,322,BOKARO,GUMIA,GUMIA,Gomia,-,-,-,-,-,-,23.78333333,85.83333333,25-05-2011 00:00,"",
426,Gomia,CGWB,20,Jharkhand,322,BOKARO,GUMIA,GUMIA,Gomia,-,-,-,-,-,-,23.78333333,85.83333333,25-05-2012 00:00,"",
427,Gopikandar,CGWB,20,Jharkhand,326,DUMKA,GOPIKANDAR,GOPIKANDAR,Gopikandar,-,-,-,-,-,-,24.49166667,87.49166667,25-05-2004 00:00,"",
428,Gopikandar,CGWB,20,Jharkhand,326,DUMKA,GOPIKANDAR,GOPIKANDAR,Gopikandar,-,-,-,-,-,-,24.49166667,87.49166667,25-05-2005 00:00,"",
429,Gopikandar,CGWB,20,Jharkhand,326,DUMKA,GOPIKANDAR,GOPIKANDAR,Gopikandar,-,-,-,-,-,-,24.49166667,87.49166667,25-05-2009 00:00,"",
430,Gopikandar,CGWB,20,Jharkhand,326,DUMKA,GOPIKANDAR,GOPIKANDAR,Gopikandar,-,-,-,-,-,-,24.49166667,87.49166667,25-05-2010 00:00,"",
431,Gopikandar,CGWB,20,Jharkhand,326,DUMKA,GOPIKANDAR,GOPIKANDAR,Gopikandar,-,-,-,-,-,-,24.49166667,87.49166667,25-05-2012 00:00,"",
432,Govindpur,CGWB,20,Jharkhand,325,DHANBAD,GOBINDPUR,GOBINDPUR,Govindpur,-,-,-,-,-,-,23.82500000,86.52777778,25-05-2000 00:00,"",
433,Govindpur,CGWB,20,Jharkhand,325,DHANBAD,GOBINDPUR,GOBINDPUR,Govindpur,-,-,-,-,-,-,23.82500000,86.52777778,25-05-2003 00:00,"",
434,Govindpur,CGWB,20,Jharkhand,325,DHANBAD,GOBINDPUR,GOBINDPUR,Govindpur,-,-,-,-,-,-,23.82500000,86.52777778,25-05-2005 00:00,"",
435,Govindpur,CGWB,20,Jharkhand,325,DHANBAD,GOBINDPUR,GOBINDPUR,Govindpur,-,-,-,-,-,-,23.82500000,86.52777778,25-05-2007 00:00,"",
436,Govindpur,CGWB,20,Jharkhand,325,DHANBAD,GOBINDPUR,GOBINDPUR,Govindpur,-,-,-,-,-,-,23.82500000,86.52777778,25-05-2009 00:00,"",
437,Govindpur,CGWB,20,Jharkhand,325,DHANBAD,GOBINDPUR,GOBINDPUR,Govindpur,-,-,-,-,-,-,23.82500000,86.52777778,25-05-2010 00:00,"",
438,Govindpur,CGWB,20,Jharkhand,325,DHANBAD,GOBINDPUR,GOBINDPUR,Govindpur,-,-,-,-,-,-,23.82500000,86.52777778,25-05-2011 00:00,"",
439,Govindpur,CGWB,20,Jharkhand,325,DHANBAD,GOBINDPUR,GOBINDPUR,Govindpur,-,-,-,-,-,-,23.82500000,86.52777778,25-05-2012 00:00,"",
440,Govindpur,CGWB,20,Jharkhand,325,DHANBAD,GOBINDPUR,GOBINDPUR,Govindpur,-,-,-,-,-,-,23.82500000,86.52777778,25-05-2013 00:00,"",
441,Gumla,CGWB,20,Jharkhand,331,GUMLA,SIMDEGA,SIMDEGA,Gumla,-,-,-,-,-,-,22.58833333,84.49166667,25-05-2003 00:00,"",
442,Gumla,CGWB,20,Jharkhand,331,GUMLA,SIMDEGA,SIMDEGA,Gumla,-,-,-,-,-,-,22.58833333,84.49166667,25-05-2004 00:00,"",
443,Gumla,CGWB,20,Jharkhand,331,GUMLA,SIMDEGA,SIMDEGA,Gumla,-,-,-,-,-,-,22.58833333,84.49166667,25-05-2006 00:00,"",
444,Gumla,CGWB,20,Jharkhand,331,GUMLA,SIMDEGA,SIMDEGA,Gumla,-,-,-,-,-,-,22.58833333,84.49166667,25-05-2012 00:00,"",
445,Gumla1,CGWB,20,Jharkhand,331,GUMLA,GUMLA,GUMLA,Gumla,-,-,-,-,-,-,23.04416667,84.55305556,25-05-2003 00:00,"",
446,Gumla1,CGWB,20,Jharkhand,331,GUMLA,GUMLA,GUMLA,Gumla,-,-,-,-,-,-,23.04388889,84.55333333,25-05-2004 00:00,"",
447,Gumla1,CGWB,20,Jharkhand,331,GUMLA,GUMLA,GUMLA,Gumla,-,-,-,-,-,-,23.04416667,84.55305556,25-05-2004 00:00,"",
448,Gumla1,CGWB,20,Jharkhand,331,GUMLA,GUMLA,GUMLA,Gumla,-,-,-,-,-,-,23.04388889,84.55333333,25-05-2006 00:00,"",
449,Gumla1,CGWB,20,Jharkhand,331,GUMLA,GUMLA,GUMLA,Gumla,-,-,-,-,-,-,23.04388889,84.55333333,25-05-2007 00:00,"",
450,Gumla1,CGWB,20,Jharkhand,331,GUMLA,GUMLA,GUMLA,Gumla,-,-,-,-,-,-,23.04388889,84.55333333,25-05-2008 00:00,"",
451,Gumla1,CGWB,20,Jharkhand,331,GUMLA,GUMLA,GUMLA,Gumla,-,-,-,-,-,-,23.04388889,84.55333333,25-05-2009 00:00,"",
452,Gumla1,CGWB,20,Jharkhand,331,GUMLA,GUMLA,GUMLA,Gumla,-,-,-,-,-,-,23.04388889,84.55333333,25-05-2010 00:00,"",
453,Gumla1,CGWB,20,Jharkhand,331,GUMLA,GUMLA,GUMLA,Gumla,-,-,-,-,-,-,23.04388889,84.55333333,25-05-2011 00:00,"",
454,Gumla1,CGWB,20,Jharkhand,331,GUMLA,GUMLA,GUMLA,Gumla,-,-,-,-,-,-,23.04388889,84.55333333,25-05-2012 00:00,"",
455,Gumla1,CGWB,20,Jharkhand,331,GUMLA,GUMLA,GUMLA,Gumla,-,-,-,-,-,-,23.04388889,84.55333333,25-05-2013 00:00,"",
456,Haidernagar,CGWB,20,Jharkhand,338,PALAMAU,HUSSAINABAD,HUSSAINABAD,Hydernagar,-,-,-,-,-,-,24.49305556,83.93555556,25-05-2012 00:00,"",
457,Haidernagar,CGWB,20,Jharkhand,338,PALAMAU,HUSSAINABAD,HUSSAINABAD,Hydernagar,-,-,-,-,-,-,24.49305556,83.93555556,25-05-2013 00:00,"",
458,Hana Bautia,CGWB,20,Jharkhand,327,PURBI SINGHBHUM,BAHARAGORA,BAHARAGORA,Hana Bautia,-,-,-,-,-,-,22.25555556,86.67416667,25-05-2012 00:00,"",
459,Hana Bautia,CGWB,20,Jharkhand,327,PURBI SINGHBHUM,BAHARAGORA,BAHARAGORA,Hana Bautia,-,-,-,-,-,-,22.25555556,86.67416667,25-05-2013 00:00,"",
460,Hansdiha pwdib,CGWB,20,Jharkhand,326,DUMKA,SARAIYAHAT,SARAIYAHAT,Hansdiha pwdib,-,-,-,-,-,-,24.60000000,87.07083333,25-05-2004 00:00,"",
461,Hansdiha pwdib,CGWB,20,Jharkhand,326,DUMKA,SARAIYAHAT,SARAIYAHAT,Hansdiha pwdib,-,-,-,-,-,-,24.60000000,87.07083333,25-05-2005 00:00,"",
462,Hansdiha pwdib,CGWB,20,Jharkhand,326,DUMKA,SARAIYAHAT,SARAIYAHAT,Hansdiha pwdib,-,-,-,-,-,-,24.60000000,87.07083333,25-05-2009 00:00,"",
463,Hansdiha pwdib,CGWB,20,Jharkhand,326,DUMKA,SARAIYAHAT,SARAIYAHAT,Hansdiha pwdib,-,-,-,-,-,-,24.60000000,87.07083333,25-05-2011 00:00,"",
464,Hansdiha pwdib,CGWB,20,Jharkhand,326,DUMKA,SARAIYAHAT,SARAIYAHAT,Hansdiha pwdib,-,-,-,-,-,-,24.60000000,87.07083333,25-05-2012 00:00,"",
465,Hansdiha pwdib,CGWB,20,Jharkhand,326,DUMKA,SARAIYAHAT,SARAIYAHAT,Hansdiha pwdib,-,-,-,-,-,-,24.60000000,87.07083333,25-05-2013 00:00,"",
466,Hariharganj,CGWB,20,Jharkhand,338,PALAMAU,CHHATARPUR,CHHATARPUR,Hariharganj,-,-,-,-,-,-,24.27500000,84.28888889,25-05-2010 00:00,"",
467,Hariharganj,CGWB,20,Jharkhand,338,PALAMAU,CHHATARPUR,CHHATARPUR,Hariharganj,-,-,-,-,-,-,24.27500000,84.28888889,25-05-2011 00:00,"",
468,Harmu,CGWB,20,Jharkhand,339,RANCHI,KANKE,KANKE,Harmu,-,-,-,-,-,-,23.37833333,85.34000000,25-05-2012 00:00,"",
469,Hata/Tirin,CGWB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,GOBINDPUR (RAJNAGAR),GOBINDPUR (RAJNAGAR),Hata/Tirin,-,-,-,-,-,-,22.61666667,86.14166667,25-05-2003 00:00,"",
470,Hata/Tirin,CGWB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,GOBINDPUR (RAJNAGAR),GOBINDPUR (RAJNAGAR),Hata/Tirin,-,-,-,-,-,-,22.61666667,86.14166667,25-05-2007 00:00,"",
471,Hata/Tirin,CGWB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,GOBINDPUR (RAJNAGAR),GOBINDPUR (RAJNAGAR),Hata/Tirin,-,-,-,-,-,-,22.61666667,86.14166667,25-05-2010 00:00,"",
472,Hata/Tirin,CGWB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,GOBINDPUR (RAJNAGAR),GOBINDPUR (RAJNAGAR),Hata/Tirin,-,-,-,-,-,-,22.61666667,86.14166667,25-05-2011 00:00,"",
473,Hata/Tirin,CGWB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,GOBINDPUR (RAJNAGAR),GOBINDPUR (RAJNAGAR),Hata/Tirin,-,-,-,-,-,-,22.61666667,86.14166667,25-05-2012 00:00,"",
474,Hatia,CGWB,20,Jharkhand,339,RANCHI,NAMKUM,NAMKUM,Hatia,-,-,-,-,-,-,23.31250000,85.30555556,25-05-2004 00:00,"",
475,Hatia,CGWB,20,Jharkhand,339,RANCHI,NAMKUM,NAMKUM,Hatia,-,-,-,-,-,-,23.31250000,85.30555556,25-05-2012 00:00,"",
476,Hatia,CGWB,20,Jharkhand,339,RANCHI,NAMKUM,NAMKUM,Hatia,-,-,-,-,-,-,23.31250000,85.30555556,25-05-2013 00:00,"",
477,Hatia1,CGWB,20,Jharkhand,339,RANCHI,NAMKUM,NAMKUM,Hatia,-,-,-,-,-,-,23.31277778,85.30583333,25-05-2004 00:00,"",
478,Hatia1,CGWB,20,Jharkhand,339,RANCHI,NAMKUM,NAMKUM,Hatia,-,-,-,-,-,-,23.31222222,85.30555556,25-05-2007 00:00,"",
479,Hatia1,CGWB,20,Jharkhand,339,RANCHI,NAMKUM,NAMKUM,Hatia,-,-,-,-,-,-,23.31222222,85.30555556,25-05-2009 00:00,"",
480,Hatia1,CGWB,20,Jharkhand,339,RANCHI,NAMKUM,NAMKUM,Hatia,-,-,-,-,-,-,23.31222222,85.30555556,25-05-2011 00:00,"",
481,Hazaribagh,CGWB,20,Jharkhand,332,HAZARIBAG,HAZARIBAG,HAZARIBAG,Hazaribagh,-,-,-,-,-,-,23.96722222,85.34777778,25-05-2002 00:00,"",
482,Hazaribagh,CGWB,20,Jharkhand,332,HAZARIBAG,HAZARIBAG,HAZARIBAG,Hazaribagh,-,-,-,-,-,-,23.96722222,85.34777778,25-05-2009 00:00,"",
483,Hazaribagh,CGWB,20,Jharkhand,332,HAZARIBAG,HAZARIBAG,HAZARIBAG,Hazaribagh,-,-,-,-,-,-,23.96722222,85.34777778,25-05-2010 00:00,"",
484,Hazaribagh,CGWB,20,Jharkhand,332,HAZARIBAG,HAZARIBAG,HAZARIBAG,Hazaribagh,-,-,-,-,-,-,23.96722222,85.34777778,25-05-2011 00:00,"",
485,Hazaribagh,CGWB,20,Jharkhand,332,HAZARIBAG,HAZARIBAG,HAZARIBAG,Hazaribagh,-,-,-,-,-,-,23.96722222,85.34777778,25-05-2012 00:00,"",
486,Hazaribagh,CGWB,20,Jharkhand,332,HAZARIBAG,HAZARIBAG,HAZARIBAG,Hazaribagh,-,-,-,-,-,-,23.96722222,85.34777778,25-05-2013 00:00,"",
487,Hesadih,CGWB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,TONTO,TONTO,Hesadih,-,-,-,-,-,-,22.50444444,85.75027778,25-05-2007 00:00,"",
488,Hesadih,CGWB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,TONTO,TONTO,Hesadih,-,-,-,-,-,-,22.50444444,85.75027778,25-05-2008 00:00,"",
489,Hesadih,CGWB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,TONTO,TONTO,Hesadih,-,-,-,-,-,-,22.50444444,85.75027778,25-05-2009 00:00,"",
490,Hesadih,CGWB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,TONTO,TONTO,Hesadih,-,-,-,-,-,-,22.50444444,85.75027778,25-05-2010 00:00,"",
491,Hesadih,CGWB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,TONTO,TONTO,Hesadih,-,-,-,-,-,-,22.50444444,85.75027778,25-05-2011 00:00,"",
492,Hesadih,CGWB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,TONTO,TONTO,Hesadih,-,-,-,-,-,-,22.50444444,85.75027778,25-05-2012 00:00,"",
493,Hesadih,CGWB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,TONTO,TONTO,Hesadih,-,-,-,-,-,-,22.50444444,85.75027778,25-05-2013 00:00,"",
494,Hinjla,CGWB,20,Jharkhand,336,LOHARDAGA,KURU,KURU,Hinjla,-,-,-,-,-,-,23.53388889,84.84777778,25-05-2003 00:00,"",
495,Hinjla,CGWB,20,Jharkhand,336,LOHARDAGA,KURU,KURU,Hinjla,-,-,-,-,-,-,23.53388889,84.84777778,25-05-2008 00:00,"",
496,Hinjla,CGWB,20,Jharkhand,336,LOHARDAGA,KURU,KURU,Hinjla,-,-,-,-,-,-,23.53388889,84.84777778,25-05-2009 00:00,"",
497,Hinjla,CGWB,20,Jharkhand,336,LOHARDAGA,KURU,KURU,Hinjla,-,-,-,-,-,-,23.53388889,84.84777778,25-05-2010 00:00,"",
498,Hinjla,CGWB,20,Jharkhand,336,LOHARDAGA,KURU,KURU,Hinjla,-,-,-,-,-,-,23.53388889,84.84777778,25-05-2011 00:00,"",
499,Hinjla,CGWB,20,Jharkhand,336,LOHARDAGA,KURU,KURU,Hinjla,-,-,-,-,-,-,23.53388889,84.84777778,25-05-2012 00:00,"",
500,Hiranpur,CGWB,20,Jharkhand,337,Pakur,HIRANPUR,HIRANPUR,Hiranpur,-,-,-,-,-,-,24.72194444,87.71888889,25-05-2005 00:00,"",
501,Hiranpur,CGWB,20,Jharkhand,337,Pakur,HIRANPUR,HIRANPUR,Hiranpur,-,-,-,-,-,-,24.72194444,87.71888889,25-05-2009 00:00,"",
502,Hiranpur,CGWB,20,Jharkhand,337,Pakur,HIRANPUR,HIRANPUR,Hiranpur,-,-,-,-,-,-,24.72194444,87.71888889,25-05-2010 00:00,"",
503,Hiranpur,CGWB,20,Jharkhand,337,Pakur,HIRANPUR,HIRANPUR,Hiranpur,-,-,-,-,-,-,24.72194444,87.71888889,25-05-2011 00:00,"",
504,Hiranpur,CGWB,20,Jharkhand,337,Pakur,HIRANPUR,HIRANPUR,Hiranpur,-,-,-,-,-,-,24.72194444,87.71888889,25-05-2012 00:00,"",
505,Hiranpur,CGWB,20,Jharkhand,337,Pakur,HIRANPUR,HIRANPUR,Hiranpur,-,-,-,-,-,-,24.72194444,87.71888889,25-05-2013 00:00,"",
506,Ichak,CGWB,20,Jharkhand,332,HAZARIBAG,ICHAK,ICHAK,Ichak,-,-,-,-,-,-,24.08750000,85.35000000,25-05-2002 00:00,"",
507,Ichak,CGWB,20,Jharkhand,332,HAZARIBAG,ICHAK,ICHAK,Ichak,-,-,-,-,-,-,24.08750000,85.35000000,25-05-2004 00:00,"",
508,Ichak,CGWB,20,Jharkhand,332,HAZARIBAG,ICHAK,ICHAK,Ichak,-,-,-,-,-,-,24.08750000,85.35000000,25-05-2005 00:00,"",
509,Ichak,CGWB,20,Jharkhand,332,HAZARIBAG,ICHAK,ICHAK,Ichak,-,-,-,-,-,-,24.08750000,85.35000000,25-05-2008 00:00,"",
510,Ichak,CGWB,20,Jharkhand,332,HAZARIBAG,ICHAK,ICHAK,Ichak,-,-,-,-,-,-,24.08750000,85.35000000,25-05-2009 00:00,"",
511,Ichak,CGWB,20,Jharkhand,332,HAZARIBAG,ICHAK,ICHAK,Ichak,-,-,-,-,-,-,24.08750000,85.35000000,25-05-2010 00:00,"",
512,Ichak,CGWB,20,Jharkhand,332,HAZARIBAG,ICHAK,ICHAK,Ichak,-,-,-,-,-,-,24.08750000,85.35000000,25-05-2012 00:00,"",
513,Ichak more,CGWB,20,Jharkhand,332,HAZARIBAG,ICHAK,ICHAK,Ichak,-,-,-,-,-,-,24.09111111,85.40861111,25-05-2013 00:00,"",
514,Itkhori,CGWB,20,Jharkhand,323,CHATRA,ITKHORI,ITKHORI,Itkhori,-,-,-,-,-,-,24.30833333,85.16666667,25-05-2004 00:00,"",
515,Itkhori,CGWB,20,Jharkhand,323,CHATRA,ITKHORI,ITKHORI,Itkhori,-,-,-,-,-,-,24.30833333,85.16666667,25-05-2008 00:00,"",
516,Itkhori,CGWB,20,Jharkhand,323,CHATRA,ITKHORI,ITKHORI,Itkhori,-,-,-,-,-,-,24.30833333,85.16666667,25-05-2009 00:00,"",
517,Itkhori,CGWB,20,Jharkhand,323,CHATRA,ITKHORI,ITKHORI,Itkhori,-,-,-,-,-,-,24.30833333,85.16666667,25-05-2010 00:00,"",
518,Itkhori,CGWB,20,Jharkhand,323,CHATRA,ITKHORI,ITKHORI,Itkhori,-,-,-,-,-,-,24.30833333,85.16666667,25-05-2011 00:00,"",
519,Itkhori,CGWB,20,Jharkhand,323,CHATRA,ITKHORI,ITKHORI,Itkhori,-,-,-,-,-,-,24.30833333,85.16666667,25-05-2013 00:00,"",
520,Itkhori1,CGWB,20,Jharkhand,323,CHATRA,ITKHORI,ITKHORI,Itkhori,-,-,-,-,-,-,24.30972222,85.16833333,25-05-2012 00:00,"",
521,Jaina More,CGWB,20,Jharkhand,322,BOKARO,JARIDIH,JARIDIH,Jaina More,-,-,-,-,-,-,23.71250000,86.08750000,25-05-2003 00:00,"",
